Customer_ID;First_Name;Last_Name;Age;Gender;Job_Title;Join_Date
1001;Alicia;Robertson;23;Female;Structural engineer;26.12.2025
1002;Amber;Weber;42;Female;Adult nurse;20.02.2026
1003;Monica;Graves;42;Female;Proofreader;24.05.2025
1004;Diane;Dorsey;30;Female;Agricultural consultant;21.04.2026
1005;Judith;Moore;25;Female;Engineer, structural;16.01.2026
1006;Jacob;Ortiz;32;Male;Maintenance engineer;30.03.2026
1007;Diane;Hughes;44;Male;Land;8.02.2024
1008;Brian;Bates;40;Male;Medical illustrator;26.04.2026
1009;Kathleen;Henderson;60;Female;Proofreader;9.07.2024
1010;Chris;Wright;38;Male;Seismic interpreter;19.12.2023
1011;Heather;Knox;71;Female;Risk manager;26.11.2024
1012;Nicole;Sanders;51;Male;Ceramics designer;26.05.2023
1013;Judy;Villa;62;Female;Theatre director;29.05.2024
1014;Jake;Preston;60;Male;Ophthalmologist;27.08.2025
1015;Victoria;Cabrera;56;Female;Designer, textile;1.01.2023
1016;Bradley;Jackson;50;Male;Social researcher;3.01.2023
1017;Jeffrey;Parker;74;Female;Bookseller;3.06.2024
1018;Mark;Gonzalez;50;Female;Public relations officer;17.03.2023
1019;Robert;Fox;19;Female;Estate manager/land agent;28.12.2025
1020;Kelly;Holmes;50;Male;Sales professional, IT;9.11.2024
1021;Sarah;Newton;23;Male;Development worker, community;21.02.2023
1022;Jesse;Brooks;63;Female;Textile designer;25.04.2026
1023;Jeremy;Brown;29;Male;Medical secretary;25.07.2025
1024;Daniel;Bell;46;Male;Transport planner;1.03.2026
1025;Scott;Lopez;20;Female;Secretary, company;26.08.2023
1026;Eric;Jones;22;Female;Drilling engineer;8.10.2023
1027;Kelsey;Mckay;71;Female;Legal secretary;16.03.2024
1028;Jenna;Wolfe;30;Male;Scientist, research (life sciences);4.05.2024
1029;Maria;Green;49;Female;Lecturer, further education;13.01.2025
1030;Jeremy;Armstrong;44;Female;Broadcast journalist;30.01.2025
1031;Michael;Winters;34;Female;Therapist, nutritional;3.04.2023
1032;Amy;Jennings;40;Female;Insurance claims handler;15.11.2025
1033;Erik;Rollins;39;Female;Accountant, chartered public finance;27.02.2025
1034;Micheal;Richardson;27;Male;Artist;9.02.2024
1035;Katelyn;Perez;29;Female;Insurance underwriter;4.07.2024
1036;Eric;Jackson;49;Male;Nutritional therapist;18.10.2025
1037;Tammy;Pearson;39;Male;Engineer, energy;30.05.2025
1038;Gary;Dunlap;44;Female;Software engineer;10.03.2024
1039;Crystal;Nixon;72;Male;Tourism officer;4.01.2024
1040;Ashley;Dunn;25;Male;Nutritional therapist;4.05.2023
1041;Amber;Mclaughlin;26;Female;Research officer, trade union;17.05.2023
1042;Victoria;Benton;21;Female;Television/film/video producer;21.05.2023
1043;Cody;Daniel;53;Female;Product/process development scientist;7.02.2023
1044;Caitlin;Fox;29;Male;Chief Strategy Officer;7.07.2024
1045;Julia;Miller;31;Male;Dentist;16.02.2025
1046;Austin;Little;36;Female;Education administrator;13.05.2024
1047;Tyler;Allen;50;Male;Therapist, art;4.04.2026
1048;Brandi;Johnson;26;Male;Information officer;19.04.2024
1049;William;Cole;49;Male;Economist;26.03.2023
1050;Timothy;Smith;23;Female;Doctor, general practice;19.01.2026
1051;Virginia;Allen;40;Male;Radiographer, therapeutic;31.08.2023
1052;Sandra;Reyes;44;Female;Agricultural consultant;9.01.2026
1053;Laura;Morales;45;Male;Estate agent;8.03.2023
1054;Richard;Higgins;25;Male;Health physicist;2.09.2023
1055;Timothy;Terry;71;Male;Engineer, maintenance (IT);25.11.2024
1056;Austin;Cooper;44;Female;Health service manager;29.12.2025
1057;Heather;King;19;Male;Print production planner;10.03.2026
1058;James;Bishop;37;Male;Designer, fashion/clothing;6.04.2024
1059;Jody;Casey;65;Female;Fisheries officer;20.12.2023
1060;Stephanie;Warner;68;Male;Scientist, audiological;8.11.2023
1061;Kayla;Kidd;46;Female;Event organiser;28.05.2023
1062;Stephanie;Rodriguez;20;Male;Oncologist;3.09.2024
1063;Alexander;Smith;28;Male;Orthoptist;12.02.2024
1064;Clayton;Carey;37;Male;Armed forces technical officer;7.07.2023
1065;Meagan;Lopez;63;Male;Environmental manager;13.10.2023
1066;Katherine;Chandler;47;Male;Child psychotherapist;13.09.2024
1067;Amy;Gray;66;Female;Copywriter, advertising;13.11.2023
1068;Robert;Ferrell;43;Female;Advertising account executive;26.08.2024
1069;Jason;Gibson;28;Male;Economist;9.02.2024
1070;Anthony;Miller;39;Female;Artist;29.07.2023
1071;Katherine;Gilmore;67;Female;Barrister's clerk;21.08.2024
1072;Randall;Strickland;27;Female;Producer, television/film/video;12.04.2024
1073;Carlos;Gonzalez;30;Female;Farm manager;7.03.2025
1074;Stephen;Rivera;23;Male;Patent examiner;5.03.2026
1075;Andrew;Mccall;20;Male;Careers adviser;12.03.2024
1076;Lisa;Suarez;29;Male;Secretary/administrator;19.11.2024
1077;Heather;Anderson;27;Male;Operational researcher;2.01.2023
1078;Tara;Bell;42;Male;Editor, magazine features;13.02.2023
1079;Daisy;Tucker;49;Male;Ergonomist;3.11.2023
1080;Angela;Johnson;44;Male;Psychologist, prison and probation services;28.06.2023
1081;Austin;Williams;40;Female;Tour manager;11.04.2024
